work#,volumes,pages,filetypes,size
W00CHZ0103335,1,626,92692
W00CHZ0103340,4,1693,50096
W00CHZ0103341,1,210,6184
W00CHZ0103342,1,348,110124
W00CHZ0103343,1,264,7860
W00CHZ0103344,1,222,6792
W00CHZ0103345,2,1838,52996
W00EGS1015752,1,610,141932
W00EGS1016047,1,48,5324
W00EGS1016181,1,183,4692
W00EGS1016199,1,144,3384
W00EGS1016202,1,107,6788
W00EGS1016213,1,294,169232
W00EGS1016236,1,540,16184
W00EGS1016238,6,4390,347464
W00EGS1016240,1,596,302692
W00EGS1016242,1,234,31800
W00EGS1016244,5,3019,784684
W00EGS1016246,3,1836,369444
W00EGS1016248,3,1232,165236
W00EGS1016251,1,498,11876
W00EGS1016253,11,8348,2041120
W00EGS1016255,1,462,23184
W00EGS1016257,1,734,100808
W00EGS1016259,1,194,3232
W00EGS1016261,1,604,33860
W00EGS1016263,1,634,35088
W00EGS1016265,1,620,51224
W00EGS1016267,1,538,9704
W00EGS1016269,1,788,107920
W00EGS1016271,1,114,20448
W00EGS1016273,2,1222,104676
W00EGS1016276,1,620,30572
W00EGS1016278,1,606,13604
W00EGS1016280,1,632,30984
W00EGS1016282,1,500,26468
W00EGS1016284,1,586,8984
W00EGS1016286,1,518,12116
W00EGS1016288,1,656,49200
W00EGS1016290,1,452,19448
W00EGS1016292,1,590,56708
W00EGS1016294,1,521,11100
W00EGS1016296,2,1170,68196
W00EGS1016299,5,4608,2157928
W00EGS1016612,1,251,19712
W00EGS1016615,1,297,28780
W00EGS1016620,1,382,96888
W00EGS1016622,1,348,7340
W00EGS1016625,11,7716,667180
W00EGS1016676,2,340,47968
W00EGS1016678,1,542,40764
W00EGS1016680,1,529,71488
W00EGS1016682,1,399,29904
W00EGS1016684,1,356,49176
W00EGS1016686,1,725,69804
W00EGS1016689,1,535,14012
W00EGS1016695,1,305,23656
W00EGS1016699,1,170,12868
W00EGS1016701,1,246,29444
W00EGS1016703,11,8118,794692
W00EGS1016705,1,402,34360
W00EGS1016707,1,348,38924
W00EGS1016709,1,258,18540
W00EGS1016711,1,373,71000
W00EGS1016713,1,306,6404
W00EGS1016717,1,320,6528
W00EGS1016719,1,75,1868
W00EGS1016722,3,864,55404
W00EGS1016725,1,490,47188
W00EGS1016728,1,406,111624
W00EGS1016731,1,512,762468
W00EGS1016733,5,856,66844
W00EGS1016735,1,300,85072
W00EGS1016737,1,84,884804
W00EGS1016740,1,448,1207204
W00EGS1016743,1,78,3796
W00EGS1016745,1,149,12976
W00EGS1016747,1,442,38236
W00EGS1016750,1,249,18172
W00EGS1016752,1,390,18732
W00EGS1016755,1,804,56316
W00EGS1016757,1,200,10912
W00EGS1016759,1,920,70008
W00EGS1016761,1,864,64964
W00EGS1016764,1,80,5908
W00EGS1016766,1,666,91748
W00EGS1016768,1,124,88760
W00EGS1016770,1,160,11796
W00EGS1016772,1,195,61120
W00EGS1016774,1,282,6524
W00EGS1016776,1,164,15824
W00EGS1016780,1,128,13080
W00EGS1016782,1,708,82596
